hero_id,num_matches_picked,num_matches_won,matches_won_perc,ancient_kills,buyback_count,camps_stacked,courier_kills,creeps_stacked,deaths,denies,hero_damage,hero_healing,hero_kills,kills,lane_kills,necronomicon_kills,neutral_kills,observer_kills,observer_uses,roshan_kills,rune_pickups,sentry_kills,sentry_uses,total_gold,total_xp,tower_damage,tower_kills,attack_type,id,localized_name,name,primary_attr,roles,carry,disabler,durable,escape,initiator,jungler,nuker,pusher,support,num_matches_banned,sum_pickbans
1,13,5,0.38461538461538464,26.46153846153846,0.38461538461538464,0.7692307692307693,0.07692307692307693,2.6153846153846154,3.8461538461538463,12.153846153846153,17208.846153846152,0.0,6.384615384615385,6.384615384615385,208.69230769230768,0.38461538461538464,128.92307692307693,0.7692307692307693,0.07692307692307693,0.23076923076923078,6.0,0.23076923076923078,0.07692307692307693,22182.846153846152,23344.076923076922,2790.076923076923,1.3846153846153846,Melee,1,Anti-Mage,npc_dota_hero_antimage,agi,carry;escape;nuker,1,0,0,1,0,0,1,0,0,8,21
2,71,30,0.4225352112676056,11.929577464788732,0.8732394366197183,1.9154929577464788,0.056338028169014086,5.915492957746479,6.746478873239437,5.816901408450704,18099.88732394366,33.732394366197184,6.549295774647887,6.492957746478873,106.7605633802817,0.43661971830985913,62.816901408450704,0.3380281690140845,0.08450704225352113,0.07042253521126761,5.253521126760563,0.352112676056338,0.09859154929577464,16004.478873239437,18219.661971830985,238.1549295774648,0.23943661971830985,Melee,2,Axe,npc_dota_hero_axe,str,initiator;durable;disabler;jungler,0,1,1,0,1,1,0,0,0,83,154
3,173,98,0.5664739884393064,0.21965317919075145,0.8554913294797688,1.1791907514450868,0.017341040462427744,3.838150289017341,7.716763005780347,4.219653179190751,8138.612716763006,116.76300578034682,2.7976878612716765,2.791907514450867,18.335260115606935,0.06936416184971098,4.872832369942197,2.7745664739884393,8.971098265895954,0.023121387283236993,5.341040462427745,1.953757225433526,7.531791907514451,9571.843930635838,13958.936416184972,200.52023121387282,0.16184971098265896,Ranged,3,Bane,npc_dota_hero_bane,int,support;disabler;nuker;durable,0,1,1,0,0,0,1,0,1,145,318
4,88,46,0.5227272727272727,16.068181818181817,0.5340909090909091,0.9318181818181818,0.022727272727272728,2.147727272727273,4.795454545454546,18.545454545454547,23572.659090909092,1254.7613636363637,8.761363636363637,8.613636363636363,198.61363636363637,0.18181818181818182,77.05681818181819,0.5568181818181818,0.1590909090909091,0.3977272727272727,4.034090909090909,0.625,0.13636363636363635,21763.511363636364,22334.704545454544,2317.7727272727275,1.4545454545454546,Melee,4,Bloodseeker,npc_dota_hero_bloodseeker,agi,carry;disabler;jungler;nuker;initiator,1,1,0,0,1,1,1,0,0,177,265
5,60,31,0.5166666666666667,0.5166666666666667,0.6666666666666666,1.15,0.0,3.25,7.033333333333333,1.7333333333333334,10780.15,341.78333333333336,2.3666666666666667,2.35,38.35,0.16666666666666666,17.833333333333332,2.716666666666667,6.6,0.0,3.433333333333333,2.8666666666666667,7.5,11249.6,13728.333333333334,160.33333333333334,0.08333333333333333,Ranged,5,Crystal Maiden,npc_dota_hero_crystal_maiden,int,support;disabler;nuker;jungler,0,1,0,0,0,1,1,0,1,40,100
6,51,33,0.6470588235294118,30.764705882352942,0.47058823529411764,1.607843137254902,0.058823529411764705,3.7450980392156863,4.313725490196078,13.03921568627451,14354.117647058823,37.35294117647059,6.0588235294117645,5.862745098039215,146.92156862745097,0.2549019607843137,120.94117647058823,0.43137254901960786,0.17647058823529413,0.49019607843137253,3.980392156862745,0.6862745098039216,0.13725490196078433,20197.56862745098,21268.647058823528,4342.588235294118,1.803921568627451,Ranged,6,Drow Ranger,npc_dota_hero_drow_ranger,agi,carry;disabler;pusher,1,1,0,0,0,0,0,1,0,94,145
7,72,35,0.4861111111111111,0.5972222222222222,0.5694444444444444,0.6805555555555556,0.027777777777777776,1.9305555555555556,5.444444444444445,2.4166666666666665,12158.152777777777,19.77777777777778,3.4166666666666665,3.3472222222222223,51.15277777777778,0.041666666666666664,13.444444444444445,0.875,2.5694444444444446,0.041666666666666664,7.25,0.5694444444444444,1.8888888888888888,11228.763888888889,15375.902777777777,264.0138888888889,0.2916666666666667,Melee,7,Earthshaker,npc_dota_hero_earthshaker,str,support;initiator;disabler;nuker,0,1,0,0,1,0,1,0,1,24,96
8,32,13,0.40625,25.9375,0.28125,0.59375,0.03125,1.625,3.65625,14.9375,22217.15625,6137.8125,7.9375,7.9375,234.125,0.15625,107.34375,0.1875,0.0625,0.59375,5.5,0.1875,0.03125,23697.21875,23696.21875,3978.84375,2.5625,Melee,8,Juggernaut,npc_dota_hero_juggernaut,agi,carry;pusher;escape,1,0,0,1,0,0,0,1,0,19,51
9,154,92,0.5974025974025974,10.363636363636363,0.45454545454545453,0.7402597402597403,0.045454545454545456,1.6948051948051948,3.5194805194805197,12.75974025974026,21888.123376623378,92.41558441558442,9.493506493506494,9.214285714285714,172.80519480519482,0.33766233766233766,75.00649350649351,0.6818181818181818,0.15584415584415584,0.35064935064935066,7.467532467532467,0.8766233766233766,0.21428571428571427,20576.214285714286,21775.448051948053,2800.818181818182,1.5454545454545454,Ranged,9,Mirana,npc_dota_hero_mirana,agi,carry;support;escape;nuker;disabler,1,1,0,1,0,0,1,0,1,126,280
10,82,41,0.5,19.426829268292682,0.43902439024390244,0.36585365853658536,0.0975609756097561,0.8414634146341463,3.3658536585365852,22.5,21313.158536585364,84.02439024390245,8.28048780487805,8.207317073170731,230.09756097560975,0.24390243902439024,89.2439024390244,0.4268292682926829,0.04878048780487805,0.5975609756097561,4.963414634146342,0.5853658536585366,0.024390243902439025,22950.170731707316,22475.536585365855,5054.073170731707,2.426829268292683,Ranged,10,Morphling,npc_dota_hero_morphling,agi,carry;escape;durable;nuker;disabler,1,1,1,1,0,0,1,0,0,142,224
