active_team,extra_time,hero_id,match_id,order,pick,player_slot,total_time_taken
3,118,106,3960936028,11,False,,45
2,96,9,3960936028,12,False,,16
3,118,80,3960936028,13,False,,47
2,118,93,3960936028,14,False,,2
2,85,119,3960936028,15,True,3.0,59
3,94,4,3960936028,16,True,8.0,66
2,53,45,3960936028,17,True,2.0,118
3,11,12,3960936028,18,True,6.0,79
2,10,60,3960936028,19,False,,32
3,7,10,3960936028,20,False,,37
3,11,120,3960936028,21,True,9.0,2
2,11,109,3960936028,22,True,4.0,34
2,130,69,3960963962,1,False,,33
3,130,91,3960963962,2,False,,10
2,130,89,3960963962,3,False,,30
3,130,60,3960963962,4,False,,18
2,130,16,3960963962,5,False,,29
3,130,51,3960963962,6,False,,66
2,99,52,3960963962,7,True,0.0,13
3,90,99,3960963962,8,True,9.0,45
3,130,90,3960963962,9,True,5.0,2
2,99,21,3960963962,10,True,2.0,65
2,90,4,3960963962,11,False,,3
3,99,41,3960963962,12,False,,31
2,90,101,3960963962,13,False,,12
3,62,93,3960963962,14,False,,63
3,99,88,3960963962,15,True,6.0,19
2,62,2,3960963962,16,True,3.0,15
3,99,9,3960963962,17,True,8.0,27
2,62,85,3960963962,18,True,4.0,32
3,99,114,3960963962,19,False,,59
2,99,12,3960963962,20,False,,34
2,39,49,3960963962,21,True,1.0,1
3,39,43,3960963962,22,True,7.0,17
2,130,51,3960988841,1,False,,35
2,130,91,3960988841,2,False,,22
3,130,21,3960988841,3,False,,12
2,130,66,3960988841,4,False,,61
3,104,16,3960988841,5,False,,80
2,84,60,3960988841,6,False,,49
3,90,89,3960988841,7,True,8.0,27
2,90,52,3960988841,8,True,3.0,15
2,84,78,3960988841,9,True,2.0,13
3,80,38,3960988841,10,True,7.0,39
3,90,12,3960988841,11,False,,49
2,66,92,3960988841,12,False,,7
3,90,43,3960988841,13,False,,56
2,38,25,3960988841,14,False,,87
2,45,40,3960988841,15,True,4.0,55
3,19,85,3960988841,16,True,9.0,47
2,33,103,3960988841,17,True,0.0,24
3,19,15,3960988841,18,True,5.0,52
2,16,17,3960988841,19,False,,51
3,16,119,3960988841,20,False,,35
3,3,74,3960988841,21,True,6.0,29
2,3,46,3960988841,22,True,1.0,14
2,130,77,3961000985,1,False,,23
3,130,66,3961000985,2,False,,1
2,130,60,3961000985,3,False,,36
3,129,89,3961000985,4,False,,2
2,130,38,3961000985,5,False,,25
3,129,91,3961000985,6,False,,6
2,130,9,3961000985,7,True,4.0,14
3,130,16,3961000985,8,True,6.0,28
3,129,52,3961000985,9,True,5.0,1
2,129,103,3961000985,10,True,0.0,23
2,130,106,3961000985,11,False,,46
3,118,3,3961000985,12,False,,27
2,130,12,3961000985,13,False,,2
3,130,20,3961000985,14,False,,16
3,118,41,3961000985,15,True,9.0,2
2,130,26,3961000985,16,True,1.0,74
3,79,37,3961000985,17,True,7.0,33
2,130,69,3961000985,18,True,2.0,52
3,62,43,3961000985,19,False,,74
2,59,61,3961000985,20,False,,38
2,91,49,3961000985,21,True,3.0,46
3,91,15,3961000985,22,True,8.0,4
2,130,9,3961040985,1,False,,32
2,130,38,3961040985,2,False,,2
3,130,21,3961040985,3,False,,27
2,130,99,3961040985,4,False,,3
3,130,60,3961040985,5,False,,62
2,103,77,3961040985,6,False,,13
3,130,51,3961040985,7,True,6.0,2
2,127,103,3961040985,8,True,4.0,38
2,103,12,3961040985,9,True,1.0,25
3,103,52,3961040985,10,True,8.0,22
3,127,17,3961040985,11,False,,41
2,96,41,3961040985,12,False,,2
3,127,3,3961040985,13,False,,86
2,123,43,3961040985,14,False,,39
2,45,37,3961040985,15,True,0.0,38
3,120,57,3961040985,16,True,9.0,55
2,26,25,3961040985,17,True,3.0,54
3,101,49,3961040985,18,True,7.0,29
2,26,56,3961040985,19,False,,39
3,21,15,3961040985,20,False,,40
3,97,87,3961040985,21,True,5.0,10
2,27,45,3961040985,22,True,2.0,105
2,130,3,3961061756,1,False,,32
3,130,52,3961061756,2,False,,27
2,130,89,3961061756,3,False,,29
3,130,91,3961061756,4,False,,3
2,130,21,3961061756,5,False,,35
3,130,60,3961061756,6,False,,13
2,130,38,3961061756,7,True,1.0,18
3,115,69,3961061756,8,True,7.0,50
3,130,37,3961061756,9,True,8.0,8
2,71,101,3961061756,10,True,3.0,94
2,115,59,3961061756,11,False,,35
3,71,4,3961061756,12,False,,42
2,108,12,3961061756,13,False,,59
3,108,25,3961061756,14,False,,4
3,47,106,3961061756,15,True,6.0,2
2,108,49,3961061756,16,True,2.0,31
3,47,67,3961061756,17,True,5.0,80
2,63,92,3961061756,18,True,0.0,6
3,47,30,3961061756,19,False,,37
2,47,103,3961061756,20,False,,2
2,61,85,3961061756,21,True,4.0,46
3,60,108,3961061756,22,True,9.0,36
2,130,91,3961102532,1,False,,11
3,130,60,3961102532,2,False,,8
2,130,52,3961102532,3,False,,2
3,130,16,3961102532,4,False,,4
2,130,77,3961102532,5,False,,6
3,130,51,3961102532,6,False,,11
2,130,9,3961102532,7,True,2.0,3
3,130,103,3961102532,8,True,6.0,12
3,130,38,3961102532,9,True,9.0,12
2,130,89,3961102532,10,True,4.0,3
2,130,12,3961102532,11,False,,10
3,130,3,3961102532,12,False,,5
2,130,106,3961102532,13,False,,17
3,130,4,3961102532,14,False,,12
3,130,10,3961102532,15,True,8.0,3
2,130,64,3961102532,16,True,0.0,37
3,129,87,3961102532,17,True,7.0,72
2,92,41,3961102532,18,True,1.0,6
3,129,49,3961102532,19,False,,39
2,129,61,3961102532,20,False,,3
2,88,21,3961102532,21,True,3.0,19
3,31,13,3961102532,22,True,5.0,92
2,130,99,3961142758,1,False,,18
2,130,91,3961142758,2,False,,2
3,130,77,3961142758,3,False,,7
2,130,51,3961142758,4,False,,6
3,130,43,3961142758,5,False,,8
2,130,60,3961142758,6,False,,48
3,117,52,3961142758,7,True,5.0,40
2,117,103,3961142758,8,True,1.0,17
2,125,9,3961142758,9,True,4.0,4
3,95,78,3961142758,10,True,7.0,65
3,117,41,3961142758,11,False,,20
2,95,12,3961142758,12,False,,77
3,75,49,3961142758,13,False,,5
2,28,48,3961142758,14,False,,82
2,95,30,3961142758,15,True,0.0,24
3,28,21,3961142758,16,True,8.0,63
2,67,44,3961142758,17,True,3.0,25
3,28,106,3961142758,18,True,6.0,33
2,67,40,3961142758,19,False,,36
3,32,59,3961142758,20,False,,70
3,27,4,3961142758,21,True,9.0,33
2,27,25,3961142758,22,True,2.0,23
2,130,60,3961146514,1,False,,28
2,130,3,3961146514,2,False,,11
3,130,66,3961146514,3,False,,14
2,130,51,3961146514,4,False,,53
3,113,38,3961146514,5,False,,54
2,110,16,3961146514,6,False,,8
3,113,91,3961146514,7,True,6.0,3
2,113,89,3961146514,8,True,3.0,20
2,110,43,3961146514,9,True,0.0,2
3,110,77,3961146514,10,True,9.0,5
3,113,64,3961146514,11,False,,8
2,110,15,3961146514,12,False,,95
3,52,29,3961146514,13,False,,6
2,32,25,3961146514,14,False,,55
2,110,106,3961146514,15,True,2.0,8
3,32,69,3961146514,16,True,5.0,18
2,110,87,3961146514,17,True,4.0,57
3,10,26,3961146514,18,True,7.0,20
2,110,76,3961146514,19,False,,36
3,110,108,3961146514,20,False,,22
3,9,4,3961146514,21,True,8.0,108
2,9,65,3961146514,22,True,1.0,28
2,130,60,3961217248,1,False,,17
2,130,91,3961217248,2,False,,0
3,130,66,3961217248,3,False,,22
2,130,103,3961217248,4,False,,1
3,130,49,3961217248,5,False,,1
2,130,77,3961217248,6,False,,9
3,130,9,3961217248,7,True,5.0,1
2,130,89,3961217248,8,True,0.0,2
2,130,64,3961217248,9,True,3.0,25
3,130,51,3961217248,10,True,8.0,1
3,130,16,3961217248,11,False,,8
2,130,106,3961217248,12,False,,10
3,130,46,3961217248,13,False,,4
2,130,61,3961217248,14,False,,6
2,130,43,3961217248,15,True,4.0,1
3,130,11,3961217248,16,True,6.0,9
2,130,12,3961217248,17,True,1.0,19
3,130,52,3961217248,18,True,9.0,18
2,130,3,3961217248,19,False,,78
3,130,57,3961217248,20,False,,17
3,87,93,3961217248,21,True,7.0,33
