,combination,count,hero1,hero2
580,"['Lich', 'Wraith King']",2,Lich,Wraith King
41,"['Lina', 'Magnus']",1,Lina,Magnus
40,"['Lina', 'Monkey King']",1,Lina,Monkey King
39,"['Lina', 'Morphling']",1,Lina,Morphling
42,"['Lina', ""Nature's Prophet""]",1,Lina,Nature's Prophet
38,"['Lina', 'Necrophos']",1,Lina,Necrophos
37,"['Lina', 'Ogre Magi']",1,Lina,Ogre Magi
634,"['Lina', 'Phantom Lancer']",3,Lina,Phantom Lancer
36,"['Lina', 'Pugna']",1,Lina,Pugna
640,"['Lina', 'Silencer']",4,Lina,Silencer
584,"['Lina', 'Terrorblade']",2,Lina,Terrorblade
35,"['Lina', 'Tiny']",1,Lina,Tiny
102,"['Lina', 'Troll Warlord']",1,Lina,Troll Warlord
137,"['Lina', 'Tusk']",1,Lina,Tusk
138,"['Lina', 'Undying']",1,Lina,Undying
139,"['Lina', 'Ursa']",1,Lina,Ursa
227,"['Lina', 'Vengeful Spirit']",1,Lina,Vengeful Spirit
598,"['Lina', 'Venomancer']",2,Lina,Venomancer
228,"['Lina', 'Weaver']",1,Lina,Weaver
607,"['Lina', 'Winter Wyvern']",3,Lina,Winter Wyvern
229,"['Lina', 'Zeus']",1,Lina,Zeus
230,"['Lion', 'Magnus']",1,Lion,Magnus
231,"['Lion', 'Necrophos']",1,Lion,Necrophos
232,"['Lion', 'Terrorblade']",1,Lion,Terrorblade
234,"['Lion', 'Windranger']",1,Lion,Windranger
241,"['Luna', 'Warlock']",1,Luna,Warlock
235,"['Luna', 'Wraith King']",1,Luna,Wraith King
582,"['Lycan', 'Silencer']",2,Lycan,Silencer
581,"['Lycan', 'Tusk']",2,Lycan,Tusk
236,"['Lycan', 'Ursa']",1,Lycan,Ursa
237,"['Lycan', 'Weaver']",1,Lycan,Weaver
238,"['Lycan', 'Zeus']",1,Lycan,Zeus
239,"['Magnus', ""Nature's Prophet""]",1,Magnus,Nature's Prophet
240,"['Magnus', 'Necrophos']",1,Magnus,Necrophos
226,"['Magnus', 'Rubick']",1,Magnus,Rubick
225,"['Magnus', 'Silencer']",1,Magnus,Silencer
224,"['Magnus', 'Terrorblade']",1,Magnus,Terrorblade
223,"['Magnus', 'Windranger']",1,Magnus,Windranger
222,"['Magnus', 'Zeus']",1,Magnus,Zeus
221,"['Medusa', 'Mirana']",1,Medusa,Mirana
220,"['Medusa', 'Ogre Magi']",1,Medusa,Ogre Magi
219,"['Medusa', 'Tiny']",1,Medusa,Tiny
218,"['Meepo', 'Necrophos']",1,Meepo,Necrophos
217,"['Meepo', 'Silencer']",1,Meepo,Silencer
216,"['Mirana', 'Morphling']",1,Mirana,Morphling
616,"['Mirana', 'Necrophos']",3,Mirana,Necrophos
599,"['Mirana', 'Ogre Magi']",2,Mirana,Ogre Magi
600,"['Mirana', 'Phantom Lancer']",2,Mirana,Phantom Lancer
215,"['Mirana', 'Phoenix']",1,Mirana,Phoenix
597,"['Mirana', 'Rubick']",2,Mirana,Rubick
214,"['Mirana', 'Silencer']",1,Mirana,Silencer
213,"['Mirana', 'Spectre']",1,Mirana,Spectre
212,"['Mirana', 'Templar Assassin']",1,Mirana,Templar Assassin
211,"['Mirana', 'Terrorblade']",1,Mirana,Terrorblade
210,"['Mirana', 'Tinker']",1,Mirana,Tinker
595,"['Mirana', 'Tiny']",2,Mirana,Tiny
233,"['Mirana', 'Underlord']",1,Mirana,Underlord
243,"['Mirana', 'Undying']",1,Mirana,Undying
268,"['Mirana', 'Ursa']",1,Mirana,Ursa
244,"['Mirana', 'Vengeful Spirit']",1,Mirana,Vengeful Spirit
262,"['Mirana', 'Venomancer']",1,Mirana,Venomancer
263,"['Mirana', 'Visage']",1,Mirana,Visage
593,"['Mirana', 'Winter Wyvern']",2,Mirana,Winter Wyvern
517,"['Mirana', 'Wraith King']",2,Mirana,Wraith King
264,"['Monkey King', 'Phantom Lancer']",1,Monkey King,Phantom Lancer
265,"['Monkey King', 'Pugna']",1,Monkey King,Pugna
266,"['Monkey King', 'Spectre']",1,Monkey King,Spectre
267,"['Monkey King', 'Treant Protector']",1,Monkey King,Treant Protector
269,"['Monkey King', 'Winter Wyvern']",1,Monkey King,Winter Wyvern
476,"['Morphling', 'Phantom Lancer']",2,Morphling,Phantom Lancer
276,"['Morphling', 'Tusk']",1,Morphling,Tusk
472,"['Morphling', 'Winter Wyvern']",2,Morphling,Winter Wyvern
516,"[""Nature's Prophet"", 'Necrophos']",2,Nature's Prophet,Necrophos
404,"[""Nature's Prophet"", 'Phantom Lancer']",1,Nature's Prophet,Phantom Lancer
405,"[""Nature's Prophet"", 'Phoenix']",1,Nature's Prophet,Phoenix
406,"[""Nature's Prophet"", 'Rubick']",1,Nature's Prophet,Rubick
408,"[""Nature's Prophet"", 'Silencer']",1,Nature's Prophet,Silencer
412,"[""Nature's Prophet"", 'Storm Spirit']",1,Nature's Prophet,Storm Spirit
413,"[""Nature's Prophet"", 'Terrorblade']",1,Nature's Prophet,Terrorblade
494,"[""Nature's Prophet"", 'Tiny']",2,Nature's Prophet,Tiny
415,"[""Nature's Prophet"", 'Ursa']",1,Nature's Prophet,Ursa
416,"[""Nature's Prophet"", 'Vengeful Spirit']",1,Nature's Prophet,Vengeful Spirit
418,"[""Nature's Prophet"", 'Viper']",1,Nature's Prophet,Viper
422,"[""Nature's Prophet"", 'Wraith King']",1,Nature's Prophet,Wraith King
401,"[""Nature's Prophet"", 'Zeus']",1,Nature's Prophet,Zeus
477,"['Necrophos', 'Ogre Magi']",2,Necrophos,Ogre Magi
270,"['Necrophos', 'Oracle']",1,Necrophos,Oracle
601,"['Necrophos', 'Phantom Lancer']",3,Necrophos,Phantom Lancer
471,"['Necrophos', 'Rubick']",2,Necrophos,Rubick
271,"['Necrophos', 'Silencer']",1,Necrophos,Silencer
272,"['Necrophos', 'Spectre']",1,Necrophos,Spectre
475,"['Necrophos', 'Storm Spirit']",2,Necrophos,Storm Spirit
273,"['Necrophos', 'Templar Assassin']",1,Necrophos,Templar Assassin
274,"['Necrophos', 'Terrorblade']",1,Necrophos,Terrorblade
275,"['Necrophos', 'Tinker']",1,Necrophos,Tinker
651,"['Necrophos', 'Tiny']",5,Necrophos,Tiny
473,"['Necrophos', 'Undying']",2,Necrophos,Undying
474,"['Necrophos', 'Vengeful Spirit']",2,Necrophos,Vengeful Spirit
261,"['Necrophos', 'Windranger']",1,Necrophos,Windranger
514,"['Necrophos', 'Wraith King']",2,Necrophos,Wraith King
260,"['Nyx Assassin', 'Phoenix']",1,Nyx Assassin,Phoenix
259,"['Nyx Assassin', 'Ursa']",1,Nyx Assassin,Ursa
258,"['Nyx Assassin', 'Vengeful Spirit']",1,Nyx Assassin,Vengeful Spirit
257,"['Ogre Magi', 'Phoenix']",1,Ogre Magi,Phoenix
256,"['Ogre Magi', 'Rubick']",1,Ogre Magi,Rubick
255,"['Ogre Magi', 'Tinker']",1,Ogre Magi,Tinker
500,"['Ogre Magi', 'Tiny']",2,Ogre Magi,Tiny
501,"['Ogre Magi', 'Venomancer']",2,Ogre Magi,Venomancer
254,"['Ogre Magi', 'Weaver']",1,Ogre Magi,Weaver
253,"['Oracle', 'Tiny']",1,Oracle,Tiny
252,"['Phantom Lancer', 'Pugna']",1,Phantom Lancer,Pugna
502,"['Phantom Lancer', 'Silencer']",2,Phantom Lancer,Silencer
251,"['Phantom Lancer', 'Storm Spirit']",1,Phantom Lancer,Storm Spirit
250,"['Phantom Lancer', 'Templar Assassin']",1,Phantom Lancer,Templar Assassin
639,"['Phantom Lancer', 'Tiny']",4,Phantom Lancer,Tiny
249,"['Phantom Lancer', 'Undying']",1,Phantom Lancer,Undying
504,"['Phantom Lancer', 'Vengeful Spirit']",2,Phantom Lancer,Vengeful Spirit
632,"['Phantom Lancer', 'Winter Wyvern']",3,Phantom Lancer,Winter Wyvern
248,"['Phantom Lancer', 'Zeus']",1,Phantom Lancer,Zeus
247,"['Phoenix', 'Spirit Breaker']",1,Phoenix,Spirit Breaker
246,"['Phoenix', 'Storm Spirit']",1,Phoenix,Storm Spirit
245,"['Phoenix', 'Tiny']",1,Phoenix,Tiny
646,"['Phoenix', 'Ursa']",5,Phoenix,Ursa
654,"['Phoenix', 'Vengeful Spirit']",5,Phoenix,Vengeful Spirit
209,"['Phoenix', 'Venomancer']",1,Phoenix,Venomancer
242,"['Phoenix', 'Visage']",1,Phoenix,Visage
623,"['Phoenix', 'Weaver']",3,Phoenix,Weaver
621,"['Pugna', 'Silencer']",3,Pugna,Silencer
208,"['Pugna', 'Spectre']",1,Pugna,Spectre
172,"['Pugna', 'Storm Spirit']",1,Pugna,Storm Spirit
506,"['Pugna', 'Tiny']",2,Pugna,Tiny
157,"['Pugna', 'Ursa']",1,Pugna,Ursa
158,"['Pugna', 'Winter Wyvern']",1,Pugna,Winter Wyvern
159,"['Pugna', 'Wraith King']",1,Pugna,Wraith King
160,"['Rubick', 'Spectre']",1,Rubick,Spectre
161,"['Rubick', 'Tinker']",1,Rubick,Tinker
162,"['Rubick', 'Zeus']",1,Rubick,Zeus
164,"['Shadow Fiend', 'Spectre']",1,Shadow Fiend,Spectre
171,"['Shadow Fiend', 'Undying']",1,Shadow Fiend,Undying
165,"['Silencer', 'Spectre']",1,Silencer,Spectre
166,"['Silencer', 'Storm Spirit']",1,Silencer,Storm Spirit
167,"['Silencer', 'Templar Assassin']",1,Silencer,Templar Assassin
650,"['Silencer', 'Terrorblade']",5,Silencer,Terrorblade
625,"['Silencer', 'Tiny']",3,Silencer,Tiny
168,"['Silencer', 'Troll Warlord']",1,Silencer,Troll Warlord
627,"['Silencer', 'Tusk']",3,Silencer,Tusk
511,"['Silencer', 'Ursa']",2,Silencer,Ursa
515,"['Silencer', 'Vengeful Spirit']",2,Silencer,Vengeful Spirit
512,"['Silencer', 'Weaver']",2,Silencer,Weaver
169,"['Silencer', 'Zeus']",1,Silencer,Zeus
170,"['Spectre', 'Storm Spirit']",1,Spectre,Storm Spirit
156,"['Spectre', 'Timbersaw']",1,Spectre,Timbersaw
155,"['Spectre', 'Tiny']",1,Spectre,Tiny
154,"['Spectre', 'Treant Protector']",1,Spectre,Treant Protector
153,"['Spectre', 'Undying']",1,Spectre,Undying
152,"['Spectre', 'Vengeful Spirit']",1,Spectre,Vengeful Spirit
151,"['Spectre', 'Winter Wyvern']",1,Spectre,Winter Wyvern
150,"['Spectre', 'Wraith King']",1,Spectre,Wraith King
149,"['Spectre', 'Zeus']",1,Spectre,Zeus
148,"['Storm Spirit', 'Tiny']",1,Storm Spirit,Tiny
147,"['Storm Spirit', 'Troll Warlord']",1,Storm Spirit,Troll Warlord
146,"['Storm Spirit', 'Undying']",1,Storm Spirit,Undying
498,"['Storm Spirit', 'Ursa']",2,Storm Spirit,Ursa
637,"['Storm Spirit', 'Vengeful Spirit']",3,Storm Spirit,Vengeful Spirit
145,"['Storm Spirit', 'Weaver']",1,Storm Spirit,Weaver
144,"['Storm Spirit', 'Wraith King']",1,Storm Spirit,Wraith King
143,"['Templar Assassin', 'Terrorblade']",1,Templar Assassin,Terrorblade
142,"['Templar Assassin', 'Undying']",1,Templar Assassin,Undying
141,"['Templar Assassin', 'Vengeful Spirit']",1,Templar Assassin,Vengeful Spirit
140,"['Templar Assassin', 'Wraith King']",1,Templar Assassin,Wraith King
163,"['Terrorblade', 'Tusk']",1,Terrorblade,Tusk
482,"['Terrorblade', 'Vengeful Spirit']",2,Terrorblade,Vengeful Spirit
173,"['Terrorblade', 'Viper']",1,Terrorblade,Viper
198,"['Terrorblade', 'Weaver']",1,Terrorblade,Weaver
174,"['Terrorblade', 'Windranger']",1,Terrorblade,Windranger
192,"['Timbersaw', 'Wraith King']",1,Timbersaw,Wraith King
193,"['Tiny', 'Troll Warlord']",1,Tiny,Troll Warlord
194,"['Tiny', 'Undying']",1,Tiny,Undying
195,"['Tiny', 'Ursa']",1,Tiny,Ursa
602,"['Tiny', 'Vengeful Spirit']",3,Tiny,Vengeful Spirit
196,"['Tiny', 'Visage']",1,Tiny,Visage
197,"['Tiny', 'Weaver']",1,Tiny,Weaver
199,"['Tiny', 'Winter Wyvern']",1,Tiny,Winter Wyvern
206,"['Tiny', 'Wraith King']",1,Tiny,Wraith King
200,"['Treant Protector', 'Vengeful Spirit']",1,Treant Protector,Vengeful Spirit
201,"['Treant Protector', 'Weaver']",1,Treant Protector,Weaver
202,"['Treant Protector', 'Winter Wyvern']",1,Treant Protector,Winter Wyvern
488,"['Troll Warlord', 'Vengeful Spirit']",2,Troll Warlord,Vengeful Spirit
203,"['Troll Warlord', 'Venomancer']",1,Troll Warlord,Venomancer
204,"['Troll Warlord', 'Winter Wyvern']",1,Troll Warlord,Winter Wyvern
205,"['Troll Warlord', 'Wraith King']",1,Troll Warlord,Wraith King
191,"['Tusk', 'Ursa']",1,Tusk,Ursa
495,"['Tusk', 'Weaver']",2,Tusk,Weaver
190,"['Tusk', 'Zeus']",1,Tusk,Zeus
189,"['Underlord', 'Winter Wyvern']",1,Underlord,Winter Wyvern
489,"['Undying', 'Ursa']",2,Undying,Ursa
611,"['Undying', 'Vengeful Spirit']",3,Undying,Vengeful Spirit
188,"['Undying', 'Venomancer']",1,Undying,Venomancer
187,"['Undying', 'Weaver']",1,Undying,Weaver
490,"['Undying', 'Wraith King']",2,Undying,Wraith King
645,"['Ursa', 'Vengeful Spirit']",4,Ursa,Vengeful Spirit
186,"['Ursa', 'Visage']",1,Ursa,Visage
491,"['Ursa', 'Weaver']",2,Ursa,Weaver
185,"['Ursa', 'Winter Wyvern']",1,Ursa,Winter Wyvern
492,"['Vengeful Spirit', 'Venomancer']",2,Vengeful Spirit,Venomancer
184,"['Vengeful Spirit', 'Viper']",1,Vengeful Spirit,Viper
643,"['Vengeful Spirit', 'Weaver']",4,Vengeful Spirit,Weaver
493,"['Vengeful Spirit', 'Wraith King']",2,Vengeful Spirit,Wraith King
183,"['Vengeful Spirit', 'Zeus']",1,Vengeful Spirit,Zeus
182,"['Venomancer', 'Weaver']",1,Venomancer,Weaver
181,"['Venomancer', 'Winter Wyvern']",1,Venomancer,Winter Wyvern
180,"['Warlock', 'Wraith King']",1,Warlock,Wraith King
179,"['Weaver', 'Winter Wyvern']",1,Weaver,Winter Wyvern
178,"['Weaver', 'Witch Doctor']",1,Weaver,Witch Doctor
177,"['Weaver', 'Zeus']",1,Weaver,Zeus
176,"['Winter Wyvern', 'Witch Doctor']",1,Winter Wyvern,Witch Doctor
175,"['Winter Wyvern', 'Wraith King']",1,Winter Wyvern,Wraith King
71,"['Winter Wyvern', 'Zeus']",1,Winter Wyvern,Zeus
278,"['Wraith King', 'Zeus']",1,Wraith King,Zeus
