combi,hero1_id,hero2_id,hero1_name,hero2_name,matches_won_perc,num_matches_picked,num_matches_won,ancient_kills,buyback_count,camps_stacked,courier_kills,creeps_stacked,deaths,denies,hero_damage,hero_healing,hero_kills,kills,lane_kills,necronomicon_kills,neutral_kills,observer_kills,observer_uses,roshan_kills,rune_pickups,sentry_kills,sentry_uses,total_gold,total_xp,tower_damage,tower_kills
"(7, 15)",7,15,Earthshaker,Razor,0.0,1,0.0,6.0,2.0,1.0,0.0,3.0,18.0,10.0,25965.0,0.0,7.0,6.0,125.0,0.0,47.0,0.0,8.0,0.0,5.0,0.0,0.0,18068.0,22323.0,824.0,0.0
"(7, 86)",7,86,Earthshaker,Rubick,0.0,1,0.0,2.0,2.0,1.0,0.0,3.0,13.0,5.0,19971.0,0.0,6.0,7.0,65.0,0.0,26.0,4.0,12.0,0.0,13.0,1.0,8.0,18035.0,21876.0,16.0,0.0
"(7, 11)",7,11,Earthshaker,Shadow Fiend,0.0,1,0.0,41.0,4.0,1.0,0.0,3.0,12.0,20.0,51024.0,0.0,9.0,6.0,388.0,0.0,130.0,3.0,11.0,1.0,18.0,3.0,10.0,46662.0,49624.0,2136.0,2.0
"(7, 27)",7,27,Earthshaker,Shadow Shaman,0.0,1,0.0,0.0,2.0,1.0,0.0,2.0,14.0,3.0,12761.0,430.0,6.0,6.0,64.0,0.0,7.0,3.0,13.0,0.0,5.0,1.0,5.0,16041.0,19791.0,384.0,0.0
"(7, 75)",7,75,Earthshaker,Silencer,0.6666666666666666,3,2.0,4.333333333333333,2.0,2.3333333333333335,0.3333333333333333,5.333333333333333,10.333333333333334,3.0,28258.0,1931.6666666666667,7.333333333333333,7.0,123.66666666666667,0.0,40.0,4.333333333333333,12.333333333333334,0.0,11.666666666666666,2.6666666666666665,8.666666666666666,29728.666666666668,37306.666666666664,1320.6666666666667,0.3333333333333333
"(7, 67)",7,67,Earthshaker,Spectre,0.5,2,1.0,11.0,0.5,1.5,0.0,4.5,5.5,27.0,46656.0,0.0,13.0,11.0,349.5,0.0,95.0,4.0,6.0,0.5,8.0,3.5,1.0,39100.5,41503.5,3660.5,1.0
"(7, 17)",7,17,Earthshaker,Storm Spirit,0.0,1,0.0,3.0,4.0,0.0,0.0,0.0,18.0,4.0,49797.0,0.0,12.0,12.0,275.0,0.0,36.0,3.0,6.0,0.0,9.0,2.0,4.0,36091.0,51529.0,1005.0,2.0
"(7, 46)",7,46,Earthshaker,Templar Assassin,1.0,2,2.0,30.5,0.5,1.0,0.5,3.0,6.0,23.5,36297.5,0.0,14.0,14.5,314.5,0.0,130.0,0.5,3.5,1.0,15.0,1.5,2.5,40444.0,42940.5,6454.5,3.5
"(7, 109)",7,109,Earthshaker,Terrorblade,0.0,3,0.0,13.333333333333334,1.0,1.0,0.0,2.6666666666666665,8.0,7.666666666666667,19398.666666666668,0.0,6.666666666666667,6.666666666666667,213.33333333333334,0.0,100.33333333333333,0.6666666666666666,2.3333333333333335,0.0,13.666666666666666,0.3333333333333333,1.6666666666666667,24745.333333333332,24179.333333333332,1942.0,2.0
"(7, 29)",7,29,Earthshaker,Tidehunter,0.0,2,0.0,2.0,0.5,0.5,0.0,1.5,11.0,8.5,20251.0,0.0,3.0,3.0,197.0,0.0,28.5,1.5,4.5,0.0,16.5,1.5,2.5,22200.0,25490.5,949.5,0.0
"(7, 98)",7,98,Earthshaker,Timbersaw,0.0,1,0.0,0.0,0.0,1.0,0.0,2.0,8.0,11.0,17755.0,0.0,6.0,6.0,103.0,0.0,32.0,1.0,1.0,0.0,13.0,0.0,1.0,13931.0,15836.0,87.0,0.0
"(7, 34)",7,34,Earthshaker,Tinker,1.0,1,1.0,2.0,1.0,1.0,0.0,1.0,9.0,25.0,69807.0,264.0,22.0,22.0,318.0,0.0,44.0,0.0,1.0,0.0,8.0,0.0,0.0,39932.0,54232.0,1745.0,1.0
"(7, 19)",7,19,Earthshaker,Tiny,0.4,5,2.0,3.8,2.6,1.4,0.0,3.6,11.0,9.4,32759.6,160.8,11.8,11.8,192.0,0.0,40.4,1.6,3.6,0.6,10.2,1.0,4.4,29306.2,35252.6,1710.2,0.8
"(7, 83)",7,83,Earthshaker,Treant Protector,1.0,1,1.0,0.0,1.0,0.0,0.0,0.0,7.0,11.0,20836.0,9777.0,4.0,4.0,145.0,0.0,16.0,1.0,1.0,0.0,4.0,0.0,12.0,21506.0,30649.0,1374.0,0.0
"(7, 95)",7,95,Earthshaker,Troll Warlord,1.0,1,1.0,41.0,1.0,0.0,0.0,0.0,7.0,23.0,29792.0,0.0,18.0,18.0,268.0,0.0,157.0,1.0,1.0,1.0,6.0,1.0,0.0,41648.0,53982.0,17224.0,8.0
"(7, 108)",7,108,Earthshaker,Underlord,0.0,1,0.0,0.0,1.0,0.0,0.0,0.0,9.0,6.0,11133.0,0.0,2.0,2.0,173.0,0.0,30.0,1.0,1.0,0.0,8.0,0.0,2.0,15286.0,16829.0,584.0,0.0
"(7, 85)",7,85,Earthshaker,Undying,0.75,4,3.0,2.5,1.5,1.25,0.0,3.5,9.75,7.25,14839.0,1933.75,5.75,5.75,77.5,0.0,13.5,1.5,12.0,0.25,8.75,0.75,5.25,19480.25,25810.5,894.75,1.0
"(7, 70)",7,70,Earthshaker,Ursa,0.0,2,0.0,5.0,1.5,0.0,0.0,0.0,15.5,10.0,35506.0,308.0,13.0,13.0,256.0,0.0,52.0,1.5,0.5,1.0,11.5,1.0,2.5,34186.5,42775.0,1857.5,2.0
"(7, 40)",7,40,Earthshaker,Venomancer,0.5,2,1.0,1.0,0.5,1.0,0.0,2.0,8.0,14.5,17692.0,160.0,7.0,7.0,101.5,0.5,23.5,0.5,1.5,0.0,7.0,0.0,0.5,14527.5,13358.5,2434.0,1.0
"(7, 37)",7,37,Earthshaker,Warlock,0.5,2,1.0,0.0,2.5,5.0,0.0,12.0,20.5,9.5,34843.0,7843.5,5.5,5.5,114.5,0.0,57.0,2.5,11.5,0.0,17.5,2.0,4.5,30349.5,37612.5,3724.5,1.0
"(7, 63)",7,63,Earthshaker,Weaver,0.5,4,2.0,7.75,1.0,0.75,0.5,2.25,7.75,12.0,35105.0,0.0,10.75,10.0,206.0,0.0,51.75,0.75,1.5,0.5,14.0,0.5,1.75,26904.5,33720.75,3132.75,2.0
"(7, 21)",7,21,Earthshaker,Windranger,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,6.0,15.0,15390.0,0.0,4.0,4.0,174.0,0.0,36.0,1.0,1.0,0.0,17.0,0.0,1.0,16717.0,15258.0,620.0,1.0
"(7, 112)",7,112,Earthshaker,Winter Wyvern,1.0,1,1.0,0.0,1.0,1.0,0.0,3.0,14.0,4.0,20349.0,2070.0,7.0,7.0,67.0,0.0,8.0,1.0,9.0,0.0,10.0,2.0,8.0,19551.0,27629.0,768.0,0.0
"(7, 30)",7,30,Earthshaker,Witch Doctor,0.0,1,0.0,0.0,0.0,2.0,0.0,5.0,12.0,0.0,8853.0,0.0,3.0,3.0,4.0,0.0,0.0,2.0,3.0,0.0,7.0,0.0,0.0,4417.0,4886.0,0.0,0.0
"(103, 102)",103,102,Elder Titan,Abaddon,0.0,1,0.0,5.0,0.0,2.0,0.0,4.0,6.0,3.0,14234.0,0.0,5.0,5.0,171.0,0.0,17.0,2.0,3.0,0.0,9.0,0.0,6.0,18532.0,26476.0,1091.0,2.0
"(103, 68)",103,68,Elder Titan,Ancient Apparition,0.0,1,0.0,0.0,1.0,1.0,0.0,3.0,14.0,2.0,13555.0,400.0,6.0,6.0,42.0,0.0,5.0,3.0,8.0,0.0,6.0,0.0,12.0,12355.0,15642.0,66.0,0.0
"(103, 113)",103,113,Elder Titan,Arc Warden,1.0,1,1.0,6.0,1.0,1.0,0.0,1.0,8.0,33.0,42155.0,0.0,16.0,16.0,284.0,1.0,66.0,5.0,7.0,0.0,13.0,10.0,6.0,40368.0,41771.0,6841.0,2.0
"(103, 2)",103,2,Elder Titan,Axe,0.5,2,1.0,4.5,2.0,3.5,0.0,11.0,14.0,7.0,28408.0,854.5,7.0,7.0,137.0,0.0,41.5,1.0,4.0,0.0,9.0,0.0,1.5,24841.5,32448.5,71.0,1.0
"(103, 3)",103,3,Elder Titan,Bane,0.7142857142857143,7,5.0,0.14285714285714285,1.5714285714285714,3.5714285714285716,0.0,12.142857142857142,12.142857142857142,6.571428571428571,23731.714285714286,604.4285714285714,6.0,6.0,87.14285714285714,0.5714285714285714,12.428571428571429,4.0,12.714285714285714,0.0,10.857142857142858,5.285714285714286,11.142857142857142,24442.85714285714,36881.71428571428,249.0,0.7142857142857143
"(103, 65)",103,65,Elder Titan,Batrider,0.0,1,0.0,2.0,0.0,3.0,0.0,6.0,10.0,7.0,28691.0,0.0,4.0,4.0,183.0,0.0,41.0,1.0,3.0,0.0,10.0,1.0,5.0,21441.0,27673.0,0.0,0.0
"(103, 38)",103,38,Elder Titan,Beastmaster,0.2857142857142857,7,2.0,7.0,0.42857142857142855,2.0,0.0,4.857142857142857,11.428571428571429,11.428571428571429,23997.285714285714,670.2857142857143,4.714285714285714,4.428571428571429,145.71428571428572,0.0,41.142857142857146,0.8571428571428571,4.142857142857143,0.14285714285714285,6.571428571428571,1.2857142857142858,3.0,21493.428571428572,26117.0,1163.2857142857142,0.42857142857142855
"(103, 4)",103,4,Elder Titan,Bloodseeker,0.0,1,0.0,11.0,0.0,1.0,0.0,3.0,8.0,13.0,38723.0,1761.0,6.0,6.0,192.0,0.0,150.0,4.0,9.0,1.0,9.0,5.0,1.0,30199.0,36876.0,233.0,1.0
"(103, 62)",103,62,Elder Titan,Bounty Hunter,0.0,1,0.0,27.0,2.0,4.0,2.0,12.0,19.0,14.0,30469.0,376.0,12.0,12.0,185.0,0.0,140.0,1.0,12.0,0.0,25.0,2.0,3.0,34353.0,43569.0,148.0,0.0
"(103, 78)",103,78,Elder Titan,Brewmaster,0.5,6,3.0,11.0,1.3333333333333333,3.5,0.0,14.5,8.833333333333334,17.666666666666668,32166.833333333332,937.0,10.0,10.0,192.5,1.0,61.5,1.3333333333333333,2.5,0.16666666666666666,10.333333333333334,1.5,1.5,30936.666666666668,39405.5,1680.8333333333333,1.3333333333333333
"(103, 96)",103,96,Elder Titan,Centaur Warrunner,0.5,2,1.0,0.0,1.5,0.5,0.0,1.0,11.0,4.0,19313.5,430.0,6.0,6.0,164.5,1.0,22.0,5.5,2.0,0.0,4.0,1.0,3.5,23040.0,30634.5,781.0,0.5
"(103, 81)",103,81,Elder Titan,Chaos Knight,1.0,1,1.0,6.0,0.0,0.0,0.0,0.0,3.0,5.0,26090.0,1680.0,18.0,18.0,158.0,0.0,27.0,1.0,2.0,1.0,2.0,0.0,0.0,25416.0,24389.0,4813.0,4.0
"(103, 56)",103,56,Elder Titan,Clinkz,1.0,3,3.0,11.666666666666666,0.6666666666666666,1.3333333333333333,0.0,4.333333333333333,3.6666666666666665,16.0,44145.333333333336,496.6666666666667,15.666666666666666,15.666666666666666,181.0,0.0,77.33333333333333,1.6666666666666667,3.6666666666666665,1.3333333333333333,10.333333333333334,2.0,7.0,34526.666666666664,41221.333333333336,9622.0,3.6666666666666665
"(103, 51)",103,51,Elder Titan,Clockwerk,1.0,1,1.0,0.0,0.0,6.0,0.0,23.0,9.0,36.0,46415.0,2685.0,21.0,21.0,144.0,0.0,18.0,1.0,0.0,0.0,5.0,3.0,3.0,30081.0,40254.0,1286.0,0.0
"(103, 119)",103,119,Elder Titan,Dark Willow,0.0,1,0.0,1.0,1.0,1.0,0.0,3.0,10.0,10.0,18863.0,2498.0,0.0,0.0,140.0,0.0,9.0,7.0,18.0,0.0,8.0,5.0,7.0,24552.0,34230.0,22.0,0.0
"(103, 43)",103,43,Elder Titan,Death Prophet,1.0,2,2.0,0.5,0.5,2.5,0.0,9.0,6.5,11.0,33173.0,2779.5,13.0,13.0,190.5,0.0,40.5,0.5,2.5,0.0,14.0,1.0,1.5,28790.5,33899.5,8013.5,4.0
"(103, 87)",103,87,Elder Titan,Disruptor,0.5,4,2.0,0.0,1.0,1.5,0.0,3.25,13.25,4.0,19591.25,897.0,6.0,6.0,45.5,0.25,8.75,2.5,10.5,0.0,8.5,1.75,7.25,16494.0,21808.0,251.25,0.5
"(103, 69)",103,69,Elder Titan,Doom,0.6666666666666666,3,2.0,0.3333333333333333,1.6666666666666667,1.3333333333333333,0.0,2.3333333333333335,10.0,13.666666666666666,47136.0,1884.0,13.333333333333334,13.333333333333334,219.66666666666666,0.0,55.0,2.3333333333333335,2.3333333333333335,0.0,12.0,2.6666666666666665,2.3333333333333335,41222.0,50262.0,1459.6666666666667,1.3333333333333333
"(103, 49)",103,49,Elder Titan,Dragon Knight,0.7142857142857143,7,5.0,12.142857142857142,1.0,2.0,0.14285714285714285,5.857142857142857,8.142857142857142,10.571428571428571,37078.0,834.1428571428571,15.0,15.0,239.71428571428572,0.42857142857142855,71.42857142857143,1.7142857142857142,3.5714285714285716,0.5714285714285714,10.285714285714286,2.2857142857142856,2.7142857142857144,35066.71428571428,43839.0,7461.857142857143,3.142857142857143
"(103, 6)",103,6,Elder Titan,Drow Ranger,1.0,1,1.0,34.0,0.0,3.0,0.0,9.0,4.0,12.0,25207.0,607.0,14.0,14.0,190.0,0.0,122.0,2.0,3.0,1.0,7.0,1.0,4.0,32427.0,40533.0,8082.0,6.0
"(103, 106)",103,106,Elder Titan,Ember Spirit,1.0,3,3.0,9.0,2.0,3.6666666666666665,0.3333333333333333,19.666666666666668,12.0,10.0,104411.0,3067.0,23.0,20.0,411.0,8.333333333333334,73.33333333333333,1.6666666666666667,3.0,0.6666666666666666,22.0,3.0,5.0,60818.666666666664,70299.33333333333,1602.6666666666667,2.0
"(103, 58)",103,58,Elder Titan,Enchantress,0.0,1,0.0,0.0,1.0,3.0,0.0,12.0,14.0,13.0,32500.0,1199.0,9.0,9.0,197.0,0.0,1.0,2.0,2.0,0.0,7.0,4.0,4.0,22234.0,28226.0,3438.0,1.0
"(103, 41)",103,41,Elder Titan,Faceless Void,0.4,5,2.0,22.0,1.6,2.2,0.2,6.4,11.6,17.6,30828.0,316.6,12.4,12.4,232.0,0.0,104.0,1.4,2.8,0.4,16.6,1.6,2.4,37017.6,47679.6,2410.8,2.4
"(103, 72)",103,72,Elder Titan,Gyrocopter,0.3333333333333333,3,1.0,13.666666666666666,1.0,3.6666666666666665,0.0,13.333333333333334,13.333333333333334,13.0,32573.333333333332,296.6666666666667,6.666666666666667,6.666666666666667,200.0,0.0,97.33333333333333,2.0,1.0,0.3333333333333333,10.0,0.6666666666666666,3.0,27081.333333333332,32609.333333333332,1780.6666666666667,2.0
"(103, 8)",103,8,Elder Titan,Juggernaut,1.0,1,1.0,32.0,0.0,6.0,0.0,22.0,3.0,10.0,33923.0,7149.0,14.0,14.0,222.0,0.0,149.0,2.0,3.0,0.0,25.0,1.0,6.0,34485.0,38129.0,6714.0,5.0
"(103, 90)",103,90,Elder Titan,Keeper of the Light,0.0,1,0.0,0.0,1.0,10.0,0.0,33.0,9.0,3.0,12987.0,0.0,3.0,1.0,50.0,0.0,14.0,1.0,5.0,0.0,4.0,0.0,5.0,8014.0,9189.0,14.0,0.0
"(103, 23)",103,23,Elder Titan,Kunkka,1.0,1,1.0,0.0,0.0,7.0,0.0,22.0,9.0,22.0,29970.0,2688.0,9.0,9.0,153.0,0.0,28.0,1.0,1.0,0.0,9.0,1.0,4.0,23062.0,25836.0,2119.0,0.0
"(103, 104)",103,104,Elder Titan,Legion Commander,0.0,2,0.0,8.0,1.0,1.0,0.0,2.0,13.0,7.0,29361.5,2400.5,5.0,5.0,109.5,0.5,61.5,1.5,4.5,0.0,10.5,1.0,1.5,22532.0,28539.5,173.5,0.5
"(103, 52)",103,52,Elder Titan,Leshrac,0.75,4,3.0,5.25,0.75,4.25,0.0,21.0,7.0,7.0,36950.75,846.0,13.25,13.25,240.25,1.75,55.75,1.5,5.0,0.25,16.75,1.75,5.25,32115.5,36178.75,3363.25,1.75
"(103, 54)",103,54,Elder Titan,Lifestealer,0.0,2,0.0,17.0,0.5,1.0,0.5,4.0,9.5,17.0,25229.5,1717.0,6.0,6.0,202.0,1.5,46.5,0.5,3.0,0.0,6.5,1.0,0.5,23449.0,24837.0,758.5,1.5
"(103, 25)",103,25,Elder Titan,Lina,0.3333333333333333,3,1.0,24.666666666666668,0.3333333333333333,1.6666666666666667,0.0,4.666666666666667,11.0,12.333333333333334,33822.0,141.66666666666666,10.333333333333334,10.333333333333334,242.66666666666666,0.0,137.0,1.3333333333333333,4.666666666666667,0.0,12.333333333333334,1.6666666666666667,1.6666666666666667,31818.666666666668,37292.0,1896.0,1.0
"(103, 26)",103,26,Elder Titan,Lion,1.0,1,1.0,0.0,3.0,1.0,0.0,2.0,13.0,5.0,36508.0,4394.0,10.0,10.0,95.0,0.0,16.0,4.0,9.0,0.0,13.0,5.0,17.0,31167.0,53942.0,1988.0,1.0
"(103, 80)",103,80,Elder Titan,Lone Druid,0.3333333333333333,3,1.0,18.666666666666668,1.3333333333333333,4.0,0.0,18.333333333333332,8.333333333333334,9.666666666666666,45362.333333333336,0.0,10.666666666666666,10.333333333333334,342.0,0.0,136.66666666666666,1.6666666666666667,3.6666666666666665,1.3333333333333333,20.333333333333332,0.6666666666666666,3.6666666666666665,46611.0,44051.0,8602.333333333334,4.666666666666667
"(103, 48)",103,48,Elder Titan,Luna,0.5,2,1.0,32.5,2.0,3.5,0.0,19.5,14.0,24.0,52575.5,473.5,13.0,11.5,362.0,6.0,166.0,2.0,3.0,0.5,12.0,2.5,3.0,45014.5,40066.5,7895.5,5.0
"(103, 77)",103,77,Elder Titan,Lycan,0.75,4,3.0,11.0,0.5,4.25,0.0,11.5,7.0,12.75,27772.5,114.75,11.5,11.5,161.75,0.0,82.75,2.25,3.0,0.75,8.75,1.0,1.0,26526.25,28243.0,7520.25,4.25
"(103, 97)",103,97,Elder Titan,Magnus,1.0,1,1.0,9.0,5.0,6.0,0.0,33.0,17.0,8.0,60259.0,947.0,12.0,12.0,264.0,8.0,68.0,8.0,2.0,0.0,18.0,8.0,6.0,48772.0,59714.0,582.0,1.0
"(103, 9)",103,9,Elder Titan,Mirana,0.6666666666666666,9,6.0,11.222222222222221,0.5555555555555556,1.5555555555555556,0.1111111111111111,4.555555555555555,8.0,11.444444444444445,40635.333333333336,1516.5555555555557,16.11111111111111,15.555555555555555,229.44444444444446,0.7777777777777778,89.44444444444444,2.4444444444444446,3.7777777777777777,0.4444444444444444,13.0,2.2222222222222223,4.444444444444445,36020.0,43869.666666666664,3463.6666666666665,1.5555555555555556
"(103, 114)",103,114,Elder Titan,Monkey King,0.3333333333333333,3,1.0,16.333333333333332,0.6666666666666666,2.3333333333333335,0.0,6.333333333333333,9.666666666666666,16.0,25333.0,831.3333333333334,6.666666666666667,6.666666666666667,218.33333333333334,0.3333333333333333,98.0,1.6666666666666667,1.3333333333333333,1.0,8.0,3.3333333333333335,2.6666666666666665,27849.0,32541.0,3138.0,1.3333333333333333
"(103, 10)",103,10,Elder Titan,Morphling,0.5,4,2.0,10.0,0.75,2.25,0.0,6.0,9.25,26.0,35194.0,256.75,11.75,11.5,318.75,0.0,81.25,1.25,4.0,0.75,11.75,1.5,2.5,37015.5,41010.75,6706.75,3.5
