minute,radiant_gold_adv,radiant_xp_adv,match_id
32,-3178,-5562,4070674710
33,-3135,-6144,4070674710
34,-4748,-8170,4070674710
35,-4168,-8440,4070674710
36,-4777,-10211,4070674710
37,-6118,-11261,4070674710
38,-5637,-9341,4070674710
39,-5936,-10710,4070674710
40,-5403,-10268,4070674710
41,-8042,-18213,4070674710
42,-12365,-21177,4070674710
43,-12647,-22028,4070674710
44,-12871,-21992,4070674710
45,-13700,-23242,4070674710
46,-14269,-23265,4070674710
47,-11932,-8947,4070674710
48,-9549,-6219,4070674710
49,-9284,-5618,4070674710
50,-3120,225,4070674710
1,0,0,4070746269
2,473,180,4070746269
3,789,276,4070746269
4,1113,590,4070746269
5,1253,768,4070746269
6,2290,1427,4070746269
7,1802,707,4070746269
8,1847,759,4070746269
9,1937,1101,4070746269
10,1878,663,4070746269
11,2442,1342,4070746269
12,2012,393,4070746269
13,2910,1460,4070746269
14,1447,451,4070746269
15,1346,446,4070746269
16,1790,817,4070746269
17,1168,-115,4070746269
18,2710,1499,4070746269
19,3091,2384,4070746269
20,3206,1517,4070746269
21,2318,515,4070746269
22,3528,976,4070746269
23,3677,2235,4070746269
24,1734,-1451,4070746269
25,1419,-868,4070746269
26,1248,-674,4070746269
27,-130,-4115,4070746269
28,-1079,-4177,4070746269
29,-1945,-5052,4070746269
30,319,633,4070746269
31,1747,1351,4070746269
32,3717,626,4070746269
33,3463,265,4070746269
34,4792,-390,4070746269
35,2612,-3008,4070746269
36,1834,-5037,4070746269
37,2613,-5531,4070746269
38,-65,-6245,4070746269
39,-495,-7101,4070746269
40,-892,-7341,4070746269
41,-669,-13085,4070746269
42,1245,-12817,4070746269
43,1255,-13226,4070746269
44,1117,-12018,4070746269
45,1182,-11669,4070746269
46,951,-11515,4070746269
47,1206,-11691,4070746269
48,1485,-11939,4070746269
49,1699,-12669,4070746269
50,1777,-11533,4070746269
51,3617,-7372,4070746269
52,5139,-6637,4070746269
53,6358,-7141,4070746269
54,7623,-3504,4070746269
