account_id,ehandle,entityleft,match_id,player_slot,slot,time,type,x,y,z
82262664,4293752,False,4070356125,0,0,397,obs_log,114,130,130
82262664,672244,False,4070356125,0,0,405,obs_log,88,142,132
82262664,10913080,False,4070356125,0,0,745,obs_log,114,130,130
82262664,5193939,False,4070356125,0,0,754,obs_log,122,150,130
82262664,10470774,False,4070356125,0,0,760,obs_log,136,164,132
82262664,10372283,False,4070356125,0,0,771,obs_log,102,174,130
82262664,1967221,False,4070356125,0,0,1142,obs_log,148,106,130
82262664,3457089,False,4070356125,0,0,1153,obs_log,154,86,130
82262664,6423219,False,4070356125,0,0,1244,obs_log,134,144,130
82262664,16254101,False,4070356125,0,0,1378,obs_log,166,134,132
82262664,5506118,False,4070356125,0,0,1697,obs_log,88,142,132
82262664,4293752,True,4070356125,0,0,763,obs_left_log,114,130,130
82262664,672244,True,4070356125,0,0,771,obs_left_log,88,142,132
82262664,10372283,True,4070356125,0,0,808,obs_left_log,102,174,130
82262664,10913080,True,4070356125,0,0,1110,obs_left_log,114,130,130
82262664,5193939,True,4070356125,0,0,1120,obs_left_log,122,150,130
82262664,10470774,True,4070356125,0,0,1126,obs_left_log,136,164,132
82262664,1967221,True,4070356125,0,0,1508,obs_left_log,148,106,130
82262664,3457089,True,4070356125,0,0,1519,obs_left_log,154,86,130
82262664,6423219,True,4070356125,0,0,1610,obs_left_log,134,144,130
82262664,475565,False,4070356125,0,0,-38,sen_log,108,160,130
82262664,10372167,False,4070356125,0,0,107,sen_log,100,166,130
82262664,3327311,False,4070356125,0,0,599,sen_log,116,104,130
82262664,10454153,False,4070356125,0,0,737,sen_log,104,112,130
82262664,6456582,False,4070356125,0,0,949,sen_log,106,122,130
82262664,6898813,False,4070356125,0,0,1041,sen_log,108,130,130
82262664,6456663,False,4070356125,0,0,1098,sen_log,112,100,130
82262664,4735216,False,4070356125,0,0,1139,sen_log,144,100,130
82262664,4965071,False,4070356125,0,0,1146,sen_log,138,90,130
82262664,11470173,False,4070356125,0,0,1186,sen_log,118,82,130
82262664,10666516,False,4070356125,0,0,1240,sen_log,124,138,130
82262664,3507692,False,4070356125,0,0,1353,sen_log,136,106,130
82262664,8193526,False,4070356125,0,0,1368,sen_log,162,120,130
82262664,11912430,False,4070356125,0,0,1462,sen_log,150,118,130
82262664,8389844,False,4070356125,0,0,1481,sen_log,156,130,130
82262664,12092647,False,4070356125,0,0,1544,sen_log,154,150,130
82262664,15253706,False,4070356125,0,0,1595,sen_log,130,150,130
82262664,1458887,False,4070356125,0,0,1694,sen_log,80,134,130
82262664,475565,True,4070356125,0,0,77,sen_left_log,108,160,130
82262664,10372167,True,4070356125,0,0,473,sen_left_log,100,166,130
82262664,3327311,True,4070356125,0,0,871,sen_left_log,116,104,130
82262664,10454153,True,4070356125,0,0,1103,sen_left_log,104,112,130
82262664,6456582,True,4070356125,0,0,1314,sen_left_log,106,122,130
82262664,6898813,True,4070356125,0,0,1322,sen_left_log,108,130,130
82262664,6456663,True,4070356125,0,0,1464,sen_left_log,112,100,130
82262664,4735216,True,4070356125,0,0,1505,sen_left_log,144,100,130
82262664,4965071,True,4070356125,0,0,1512,sen_left_log,138,90,130
82262664,11470173,True,4070356125,0,0,1552,sen_left_log,118,82,130
82262664,10666516,True,4070356125,0,0,1605,sen_left_log,124,138,130
82262664,15253706,True,4070356125,0,0,1659,sen_left_log,130,150,130
82262664,3507692,True,4070356125,0,0,1718,sen_left_log,136,106,130
82262664,8193526,True,4070356125,0,0,1734,sen_left_log,162,120,130
101356886,9912567,False,4070356125,3,3,428,obs_log,144,100,130
101356886,9912567,True,4070356125,3,3,796,obs_left_log,144,100,130
101356886,7013705,False,4070356125,3,3,279,sen_log,174,92,130
101356886,15582518,False,4070356125,3,3,573,sen_log,92,140,130
101356886,1229023,False,4070356125,3,3,1091,sen_log,120,92,132
101356886,7013705,True,4070356125,3,3,434,sen_left_log,174,92,130
101356886,15582518,True,4070356125,3,3,940,sen_left_log,92,140,130
101356886,1229023,True,4070356125,3,3,1459,sen_left_log,120,92,132
221666230,16008310,False,4070356125,128,5,407,obs_log,128,126,130
221666230,16008310,True,4070356125,128,5,773,obs_left_log,128,126,130
73562326,1049848,False,4070356125,129,6,787,obs_log,106,130,130
73562326,13796518,False,4070356125,129,6,1124,obs_log,166,98,130
73562326,14894523,False,4070356125,129,6,1692,obs_log,86,130,130
73562326,1049848,True,4070356125,129,6,1051,obs_left_log,106,130,130
73562326,13796518,True,4070356125,129,6,1491,obs_left_log,166,98,130
