account_id,ancient_kills,buyback_count,camps_stacked,courier_kills,creeps_stacked,deaths,denies,gold_per_min,hero_damage,hero_healing,hero_id,hero_kills,is_roaming,kda,kills,lane,lane_efficiency_pct,lane_kills,lane_role,match_id,necronomicon_kills,neutral_kills,observer_kills,observer_uses,player_slot,roshan_kills,rune_pickups,sentry_kills,sentry_uses,teamfight_participation,total_gold,total_xp,tower_damage,tower_kills,win,xp_per_min,player_side
106863163,1,0,2,0,3,1,9,636,21013,0,23,12,False,14,12,2,69,175,2,4080420268,0,57,1,1,1,1,9,0,0,0.875,20606,26470,2509,2,1,817,radiant
94296097,0,1,3,0,7,4,6,280,7493,3424,37,1,False,3,1,1,26,25,1,4080420268,0,8,4,7,2,0,2,2,7,0.5,9072,8488,1094,2,1,262,radiant
101695162,0,0,0,0,0,4,2,348,10646,0,119,4,False,4,4,3,40,36,3,4080420268,0,9,2,5,3,0,7,0,4,0.75,11275,15033,1183,1,1,464,radiant
94738847,1,0,0,0,0,3,17,512,17549,3356,42,9,False,6,9,3,74,138,3,4080420268,0,29,0,0,4,0,4,0,0,0.8125,16588,20768,3905,1,1,641,radiant
111620041,0,1,0,0,0,5,30,418,18096,1803,36,2,False,1,1,2,74,207,2,4080420268,0,43,0,0,128,0,2,1,0,0.33333334,13543,15098,787,0,0,466,dire
86745912,6,1,0,0,0,10,15,413,19164,0,67,6,False,1,5,3,47,162,1,4080420268,0,31,0,0,129,0,2,0,0,0.6666667,13381,13802,292,1,0,426,dire
94155156,1,1,0,0,0,5,3,203,7357,300,31,2,False,2,1,3,25,23,1,4080420268,0,2,1,7,130,0,5,2,3,0.6666667,6577,9396,52,1,0,290,dire
41231571,6,0,0,0,0,4,12,360,12400,0,9,8,False,2,7,1,67,107,3,4080420268,0,34,0,0,131,0,1,0,0,0.7777778,11664,11340,1317,1,0,350,dire
25907144,0,1,1,0,3,9,2,244,9166,0,86,5,False,1,4,1,42,46,3,4080420268,0,7,0,3,132,0,7,1,1,0.6111111,7905,9849,117,0,0,304,dire
19672354,0,1,0,0,0,7,0,335,12000,2396,112,1,False,2,1,1,29,67,1,4080601137,0,1,2,8,0,0,8,1,3,0.5294118,11602,15758,219,0,1,455,radiant
311360822,9,0,1,0,1,7,7,562,31391,477,67,15,False,3,15,1,64,139,1,4080601137,0,43,0,0,1,1,4,2,0,0.7647059,19463,22130,4787,3,1,639,radiant
26771994,0,1,0,0,0,2,3,333,15886,0,7,4,False,7,4,3,37,49,3,4080601137,0,6,1,1,2,0,2,0,10,0.64705884,11532,18078,22,0,1,522,radiant
88271237,0,0,0,0,0,5,8,288,4950,9777,83,0,False,2,0,3,46,96,3,4080601137,0,10,0,0,3,0,2,0,2,0.44117647,9974,12571,1352,0,1,363,radiant
94054712,0,0,2,0,5,7,15,495,25990,0,114,14,False,2,14,2,75,134,2,4080601137,0,44,1,1,4,0,1,1,0,0.6764706,17143,23031,2464,1,1,665,radiant
125581247,24,1,5,0,9,6,19,478,17160,0,4,6,False,1,6,1,88,146,3,4080601137,0,122,0,0,128,0,4,1,0,0.4814815,16554,17974,0,0,0,519,dire
106863163,9,0,0,0,0,6,12,500,23465,0,17,8,False,2,8,3,67,153,1,4080601137,0,109,0,0,129,0,8,0,0,0.7037037,17316,20606,500,0,0,595,dire
94296097,0,1,0,0,0,8,0,238,11194,0,5,3,False,1,3,1,44,28,3,4080601137,0,8,3,8,130,0,7,4,4,0.5555556,8242,10459,0,0,0,302,dire
101695162,0,1,3,0,12,7,3,256,14119,310,103,4,False,1,4,3,38,42,1,4080601137,0,1,2,1,131,0,3,2,4,0.4814815,8866,11429,0,0,0,330,dire
94738847,0,0,0,0,0,7,10,386,18381,889,58,5,False,1,5,2,82,155,2,4080601137,0,0,0,1,132,0,4,2,0,0.44444445,13368,16797,3438,1,0,485,dire
125581247,41,0,0,0,0,3,14,657,26317,0,12,13,False,6,13,3,76,180,3,4080666526,0,113,1,0,0,1,4,0,0,0.53333336,25020,27800,5896,1,1,730,radiant
106863163,4,0,1,0,2,1,21,599,26113,0,23,8,False,10,8,2,81,234,2,4080666526,0,39,0,0,1,0,14,1,0,0.46666667,22811,27001,5770,4,1,709,radiant
94296097,0,0,0,1,0,9,2,265,8969,300,3,2,False,2,2,3,35,14,3,4080666526,0,4,3,11,2,0,2,1,14,0.4888889,10092,14433,0,0,1,379,radiant
101695162,0,0,0,0,0,4,2,378,17302,0,7,8,False,5,8,3,41,58,3,4080666526,0,17,1,1,3,0,5,0,4,0.64444447,14395,21517,1097,2,1,565,radiant
94738847,0,0,0,0,0,2,11,510,29031,6409,58,14,False,9,14,1,82,151,1,4080666526,0,26,1,0,4,0,9,1,0,0.6,19422,24068,6324,1,1,632,radiant
19672354,0,0,2,0,8,10,2,179,9938,0,87,0,False,1,0,3,36,17,1,4080666526,0,2,3,10,128,0,6,3,5,0.7894737,6816,7654,0,0,0,201,dire
311360822,20,1,1,0,3,8,4,539,33323,0,72,10,False,1,10,3,66,205,1,4080666526,0,83,0,0,129,0,4,0,0,0.8947368,20526,19803,0,0,0,520,dire
26771994,4,1,4,0,10,10,0,226,9425,8805,91,5,False,1,5,3,47,29,1,4080666526,0,33,0,0,130,0,2,0,2,0.7368421,8606,15538,13,0,0,408,dire
88271237,0,1,0,0,0,5,6,421,16974,256,108,2,False,1,3,1,72,194,3,4080666526,0,41,0,0,131,0,3,1,0,0.47368422,16033,20679,682,1,0,543,dire
94054712,1,0,0,0,0,12,13,296,10109,0,74,0,False,0,0,2,44,142,2,4080666526,0,12,0,0,132,0,1,0,0,0.2631579,11272,12643,203,0,0,332,dire
19672354,0,1,3,0,7,17,2,244,7747,2447,66,2,True,0,2,1,39,17,1,4080723031,0,12,0,10,0,0,5,0,4,0.56,8401,7644,399,0,0,222,radiant
311360822,24,0,0,1,0,8,12,560,19540,0,12,6,False,1,6,1,75,163,1,4080723031,0,87,1,0,1,1,4,1,0,0.48,19282,20591,2274,2,0,598,radiant
26771994,0,0,1,1,2,13,3,323,10503,100,25,3,False,0,3,3,37,72,3,4080723031,0,15,1,3,2,0,2,1,8,0.4,11121,14324,89,1,0,416,radiant
