match_id,league,,,,,,,
3966752666,The International 2018,,,,,,,
4061952570,The International 2018,,,,,,,
4080778303,The International 2018,,,,,,,
3962701540,The International 2018,,,,,,,
3967062172,The International 2018,,,,,,,
3965702859,The International 2018,,,,,,,
3971583578,The International 2018,,,,,,,
3967480317,The International 2018,,,,,,,
4078478649,The International 2018,,,,,,,
4063266100,The International 2018,,,,,,,
4062098446,The International 2018,,,,,,,
3960615221,The International 2018,,,,,,,
3965779077,The International 2018,,,,,,,
3961291740,The International 2018,,,,,,,
4078291886,The International 2018,,,,,,,
4061662358,The International 2018,,,,,,,
3971470160,The International 2018,,,,,,,
4070746269,The International 2018,,,,,,,
3961000985,The International 2018,,,,,,,
4074821374,The International 2018,,,,,,,
3961505531,The International 2018,,,,,,,
4061660411,The International 2018,,,,,,,
3962882047,The International 2018,,,,,,,
4066822873,The International 2018,,,,,,,
3967727113,The International 2018,,,,,,,
4076114893,The International 2018,,,,,,,
3969775882,The International 2018,,,,,,,
4066615144,The International 2018,,,,,,,
4065211218,The International 2018,,,,,,,
3965525689,The International 2018,,,,,,,
3969556326,The International 2018,,,,,,,
3967271411,The International 2018,,,,,,,
4065211201,The International 2018,,,,,,,
3968700910,The International 2018,,,,,,,
4072509593,The International 2018,,,,,,,
4062010988,The International 2018,,,,,,,
4074356696,The International 2018,,,,,,,
4063465788,The International 2018,,,,,,,
4066751467,The International 2018,,,,,,,
4063131418,The International 2018,,,,,,,
3966088418,The International 2018,,,,,,,
4065084843,The International 2018,,,,,,,
3973023989,The International 2018,,,,,,,
4076314248,The International 2018,,,,,,,
3963622811,The International 2018,,,,,,,
3969620539,The International 2018,,,,,,,
4062016236,The International 2018,,,,,,,
4080723031,The International 2018,,,,,,,
3972633082,The International 2018,,,,,,,
3967872144,The International 2018,,,,,,,
4078412913,The International 2018,,,,,,,
3963748898,The International 2018,,,,,,,
4063643412,The International 2018,,,,,,,
3960868114,The International 2018,,,,,,,
4066988194,The International 2018,,,,,,,
3967396766,The International 2018,,,,,,,
4064706272,The International 2018,,,,,,,
4061802430,The International 2018,,,,,,,
4061721528,The International 2018,,,,,,,
4065140946,The International 2018,,,,,,,
3960583608,The International 2018,,,,,,,
3961373359,The International 2018,,,,,,,
4078363316,The International 2018,,,,,,,
3961146514,The International 2018,,,,,,,
4076485641,The International 2018,,,,,,,
3961259644,The International 2018,,,,,,,
3972835248,The International 2018,,,,,,,
4066926568,The International 2018,,,,,,,
4063477071,The International 2018,,,,,,,
3969431394,The International 2018,,,,,,,
4063131353,The International 2018,,,,,,,
3965927990,The International 2018,,,,,,,
4080856812,The International 2018,,,,,,,
4065178894,The International 2018,,,,,,,
4065192690,The International 2018,,,,,,,
3973036021,The International 2018,,,,,,,
4063369023,The International 2018,,,,,,,
3968073382,The International 2018,,,,,,,
3967576585,The International 2018,,,,,,,
4066775838,The International 2018,,,,,,,
3967478661,The International 2018,,,,,,,
4072699199,The International 2018,,,,,,,
3967718821,The International 2018,,,,,,,
3964678461,The International 2018,,,,,,,
4061984521,The International 2018,,,,,,,
3966487370,The International 2018,,,,,,,
4078079157,The International 2018,,,,,,,
3967446758,The International 2018,,,,,,,
4072252473,The International 2018,,,,,,,
4066666471,The International 2018,,,,,,,
4064996401,The International 2018,,,,,,,
3965388783,The International 2018,,,,,,,
3970514314,The International 2018,,,,,,,
3970279887,The International 2018,,,,,,,
3970112306,The International 2018,,,,,,,
4061924528,The International 2018,,,,,,,
3968380074,The International 2018,,,,,,,
4064851344,The International 2018,,,,,,,
3964347005,The International 2018,,,,,,,
4072354014,The International 2018,,,,,,,
4063572817,The International 2018,,,,,,,
4064872015,The International 2018,,,,,,,
4066505440,The International 2018,,,,,,,
4063286002,The International 2018,,,,,,,
3960760412,The International 2018,,,,,,,
4063430773,The International 2018,,,,,,,
3967391784,The International 2018,,,,,,,
4061971770,The International 2018,,,,,,,
4062142571,The International 2018,,,,,,,
4074694505,The International 2018,,,,,,,
4080666526,The International 2018,,,,,,,
3966977095,The International 2018,,,,,,,
3966077573,The International 2018,,,,,,,
3966619151,The International 2018,,,,,,,
3969955414,The International 2018,,,,,,,
4062183675,The International 2018,,,,,,,
4063439681,The International 2018,,,,,,,
4063600107,The International 2018,,,,,,,
4065260154,The International 2018,,,,,,,
4066909869,The International 2018,,,,,,,
3961454929,The International 2018,,,,,,,
4063289036,The International 2018,,,,,,,
4066838505,The International 2018,,,,,,,
3966744778,The International 2018,,,,,,,
4061858332,The International 2018,,,,,,,
4064854156,The International 2018,,,,,,,
4074748928,The International 2018,,,,,,,
3964015955,The International 2018,,,,,,,
3965322615,The International 2018,,,,,,,
4065128649,The International 2018,,,,,,,
4080601137,The International 2018,,,,,,,
4080316101,The International 2018,,,,,,,
3967809253,The International 2018,,,,,,,
