end,last_death,match_id,start
1867,1852,4074821374,1818
2318,2303,4074821374,2278
2368,2353,4074821374,2317
2753,2738,4074821374,2709
2943,2928,4074821374,2898
3192,3177,4074821374,3148
725,710,3961505531,670
935,920,3961505531,887
1131,1116,3961505531,1088
1909,1894,3961505531,1872
2047,2032,3961505531,2006
2309,2294,3961505531,2245
2832,2817,3961505531,2778
3148,3133,3961505531,3093
3406,3391,3961505531,3365
399,384,4061660411,341
735,720,4061660411,685
832,817,4061660411,784
1075,1060,4061660411,1022
1220,1205,4061660411,1185
1250,1235,4061660411,1205
1877,1862,4061660411,1831
1937,1922,4061660411,1897
2178,2163,4061660411,2143
2267,2252,4061660411,2211
2503,2488,4061660411,2468
2654,2639,4061660411,2607
2693,2678,4061660411,2655
3016,3001,4061660411,2978
230,215,3962882047,181
549,534,3962882047,502
690,675,3962882047,655
811,796,3962882047,768
1035,1020,3962882047,998
1509,1494,3962882047,1475
1768,1753,3962882047,1716
1845,1830,3962882047,1800
1968,1953,3962882047,1922
2142,2127,3962882047,2092
2343,2328,3962882047,2305
2364,2349,3962882047,2329
2568,2553,3962882047,2513
2722,2707,3962882047,2683
496,481,4066822873,455
815,800,4066822873,781
913,898,4066822873,861
1119,1104,4066822873,1082
1241,1226,4066822873,1201
1273,1258,4066822873,1229
1440,1425,4066822873,1393
1535,1520,4066822873,1492
1899,1884,4066822873,1831
2189,2174,4066822873,2143
2516,2501,4066822873,2454
3333,3318,4066822873,3270
3596,3581,4066822873,3557
4529,4514,4066822873,4492
4652,4637,4066822873,4611
4746,4731,4066822873,4688
417,402,3967727113,376
530,515,3967727113,480
895,880,3967727113,865
1248,1233,3967727113,1191
1657,1642,3967727113,1613
2231,2216,3967727113,2182
2350,2335,3967727113,2302
2492,2477,3967727113,2449
3220,3205,3967727113,3178
3262,3247,3967727113,3209
3680,3665,3967727113,3636
3943,3928,3967727113,3889
380,365,4076114893,337
514,499,4076114893,466
791,776,4076114893,737
1164,1149,4076114893,1108
1536,1521,4076114893,1493
1767,1752,4076114893,1714
1911,1896,4076114893,1861
2007,1992,4076114893,1949
2085,2070,4076114893,2046
2398,2383,4076114893,2333
505,490,3969775882,465
727,712,3969775882,685
1249,1234,3969775882,1206
2061,2046,3969775882,2024
2276,2261,3969775882,2226
2300,2285,3969775882,2261
2744,2729,3969775882,2690
3578,3563,3969775882,3535
4297,4282,3969775882,4242
4660,4645,3969775882,4585
528,513,4066615144,481
629,614,4066615144,591
762,747,4066615144,726
1089,1074,4066615144,1050
1230,1215,4066615144,1179
1536,1521,4066615144,1481
1604,1589,4066615144,1563
1694,1679,4066615144,1641
2013,1998,4066615144,1971
2171,2156,4066615144,2099
2330,2315,4066615144,2280
650,635,4065211218,614
694,679,4065211218,644
810,795,4065211218,768
1024,1009,4065211218,991
1309,1294,4065211218,1266
2491,2476,4065211218,2434
2641,2626,4065211218,2609
2709,2694,4065211218,2670
2946,2931,4065211218,2873
428,413,3965525689,383
971,956,3965525689,922
1780,1765,3965525689,1740
2286,2271,3965525689,2250
2881,2866,3965525689,2841
3067,3052,3965525689,2996
729,714,3969556326,683
856,841,3969556326,794
1046,1031,3969556326,1007
1389,1374,3969556326,1325
1826,1811,3969556326,1775
1899,1884,3969556326,1858
2071,2056,3969556326,2030
2414,2399,3969556326,2359
2661,2646,3969556326,2587
2822,2807,3969556326,2782
2843,2828,3969556326,2809
2934,2919,3969556326,2891
1116,1101,3967271411,1082
1207,1192,3967271411,1148
1823,1808,3967271411,1784
2096,2081,3967271411,2025
2212,2197,3967271411,2175
2391,2376,3967271411,2356
2595,2580,3967271411,2542
2643,2628,3967271411,2590
2867,2852,3967271411,2787
454,439,4065211201,422
678,663,4065211201,643
966,951,4065211201,931
1200,1185,4065211201,1140
1466,1451,4065211201,1424
1626,1611,4065211201,1576
1963,1948,4065211201,1905
2258,2243,4065211201,2215
2326,2311,4065211201,2287
2503,2488,4065211201,2459
1022,1007,3968700910,980
1350,1335,3968700910,1311
1662,1647,3968700910,1601
2037,2022,3968700910,1988
2232,2217,3968700910,2182
2619,2604,3968700910,2562
2738,2723,3968700910,2690
2820,2805,3968700910,2774
829,814,4072509593,794
1240,1225,4072509593,1208
1376,1361,4072509593,1340
1461,1446,4072509593,1422
1603,1588,4072509593,1551
1949,1934,4072509593,1910
2086,2071,4072509593,2045
2232,2217,4072509593,2193
2417,2402,4072509593,2376
2629,2614,4072509593,2592
3016,3001,4072509593,2981
335,320,4062010988,279
424,409,4062010988,382
482,467,4062010988,446
624,609,4062010988,571
933,918,4062010988,897
1189,1174,4062010988,1115
1721,1706,4062010988,1663
1931,1916,4062010988,1881
620,605,4074356696,579
1276,1261,4074356696,1241
1549,1534,4074356696,1507
